Termo;Definicao
Anterioridades;Informações similares a uma criação industrial divulgadas ao público antes da data de depósito de um pedido de patente. Os meios de divulgação escrita incluem documentos de patente, publicações em revistas técnicas, periódicos científicos, anais de eventos, monografias, dissertações, teses, livros, jornais, manuais técnicos, catálogos de produtos e materiais de propaganda. Os meios de divulgação oral incluem conversas, relatos, palestras, radiodifusão, transmissão televisiva e internet (YouTube, Instagram etc). Os meios de divulgação por uso incluem produção, venda, importação, exibição e demonstração do produto e/ou atividade industrial.
Aplicação industrial;Um dos requisitos para a obtenção de uma patente de invenção ou de uma patente de modelo de utilidade. Possibilidade concreta de utilizar ou produzir uma criação com repetibilidade em qualquer tipo/gênero de indústria, como por exemplo agrícola, extrativa e de produtos manufaturados. Deve ter caráter técnico não personalizado nem individualizado.
Atividade inventiva;Um dos requisitos para a obtenção de uma patente de invenção. Esforço intelectual para o desenvolvimento tecnológico de uma criação que não represente uma modificação óbvia ou evidente do que já era conhecido no estado da técnica.
Ato inventivo;Um dos requisitos para a obtenção de uma patente de modelo de utilidade. Esforço intelectual para o desenvolvimento tecnológico de um novo objeto que não represente uma modificação comum ou óbvia em comparação com o que já era conhecido no estado da técnica. O aperfeiçoamento não pode ser trivial nem corriqueiro considerando as condições de experimentação e os conhecimentos teórico e prático operacional usuais à época do depósito do pedido de patente.
Ato Normativo;Regra de uso ou aplicação.
Avaliação de Bens;Métodos científicos para atribuir valor monetário ao Capital Intelectual ou a um empreendimento.
Backlog;Número de pedidos (de marcas, patentes, desenhos industriais etc) que aguardam análise pelo escritório de propriedade industrial do país.
Bens Intangíveis;Diz-se dos bens intocáveis, da Propriedade Intelectual. Capital Intelectual e conhecimento ou Know-How.
Busca;Procedimento preventivo de pesquisa e verificação
Busca de Anterioridades;Busca em nível mundial de documentos de patente, de literatura não patentária, de descrição escrita, oral, por uso ou qualquer outro meio. Feita antes do depósito para o depositante poder descrever no relatório descritivo o estado da técnica relacionado à criação reivindicada no pedido de patente. Feita pelo examinador de patentes para verificar se a criação pleiteada é nova e se cumpre os demais requisitos de patenteabillidade fixados na Lei 9279/96 de Propriedade Industrial (LPI).
Busca de Marca;Procedimento preventivo de pesquisa e verificação em bases de dados oficiais de marcas já registradas.
Busca de Patentes;Busca de documentos de patente em bases de dados gratuitas ou pagas em quaisquer línguas. Para efeitos dos requisitos de patenteabilidade, a busca deve ser por qualquer anterioridade (que inclui todo o estado da técnica) e não apenas por patentes. Auxilia na definição do estado da técnica relacionado a um determinado campo tecnológico. Útil para identificar a natureza da criação a ser patenteada. Essencial para a avaliação dos requisitos de patenteabilidade novidade, atividade inventiva ou ato inventivo.
Busca de Tecnologia;Pesquisa por documentos de patente, artigos científicos, anais de congressos e outros tipos de documentos sobre uma determinada tecnologia. A busca pode ser feita em bases de dados gratuitas ou pagas, em quaisquer línguas. É muito importante para avaliar a viabilidade de se investir na tecnologia.
Capital Intelectual;Conjunto sistematizado de conhecimentos e sua aplicação.
Carta-Patente;Título de propriedade temporária concedido pelo Estado brasileiro ao titular de uma patente de invenção ou de modelo de utilidade. O INPI somente concede uma patente após notificação na Revista de Propriedade Industrial (RPI) de decisão do deferimento do pedido de patente seguida de comprovação de pagamento de retribuição de expedição da carta-patente efetuado de acordo com normativas e tabela de retribuições vigentes.
Certificado de Registro de Marca;Título de propriedade de uma marca registrada.
Concorrência Desleal;Atos desleais no mercado, como publicar falsa informação, em detrimento de concorrente, divulgar informações confidenciais, atribuir-se, como meio de propaganda, recompensa ou distinção que não obteve.
Contrabando;Ato de importar ou exportar ilegalmente mercadoria que dependa de registro, análise ou autorização de órgão público competente ou, ainda, produtos proibidos por lei no país.
Contrafação;Reprodução não autorizada de obra protegida por direitos autorais.
Criações Industriais;Processos ou produtos aplicados à indústria.
Criador;Autor.
Cultivar;Variedade de planta, com características específicas resultantes de pesquisas em agronomia e biociências (genética, biotecnologia, botânica e ecologia), não simplesmente descoberta na natureza. Há, portanto, necessidade de intervenção humana na alteração da composição genética da planta para a obtenção de vegetal denominado cultivar.
Depósito;Ato inicial de requerimento de um pedido de registro de uma marca ou de um pedido de concessão de uma patente. A documentação deve ser peticionada no INPI acompanhada de retribuição previamente paga de acordo a tabela de retribuições vigente.
Descaminho;Entrada ou saída de produtos permitidos por Lei, mas sem passar pelos trâmites burocrático e recolhimento dos tributos devidos.
Descoberta;Revelação ou identificação de algo (ou fenômeno) existente na natureza, alcançada por meio da capacidade de observação do homem, como a formulação da Lei da Gravidade, identificação de uma propriedade de um material etc. As descobertas não são patenteáveis.
Desenho Industrial;Design aplicado a um produto, incluindo formas, estampas, interfaces, e tudo que interfere na sua aparência. Não pode ser considerado para o caso de objetos produzidos artesanalmente.
