Cor;Categoria;Especie;Numero;Data;Situacao;CorSituacao;Ementa;Acesso;
#3366CC;Institucional;Portaria Normativa PR;72;18/05/2026;Vigente;#007e5d;Dispõe sobre a conversão de unidades físicas em unidades virtuais no âmbito do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-72-transformacao-de-unidades-fisicas-em-unidades-virtuais-no-inpi-sedirs.pdf;
#3366CC;Institucional;Portaria Normativa PR;71;11/05/2026;Vigente;#007e5d;Define as ações, rotinas e prazos para elaboração e divulgação do Plano Anual de Auditoria Interna e do Relatório Anual de Atividades de Auditoria Interna da Unidade de Auditoria Interna do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-71-portaria-que-define-as-acoes-rotinas-e-prazos-para-elaboracao-e-divulgacao-do-plano-anual-de-aud-interna-e-do-relatorio-anual-de-ativ-de-audi-interna-da-audit-inpi.pdf;
#3366CC;Intitucional;Portaria Normativa PR;70;04/05/2026;Vigente;#007e5d;Aprova o Plano de Combate à Fraude e à Corrupção do Instituto Nacional da Propriedade Industrial para o período de 2026 a 2028;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-70-plano-de-combate-a-fraude-e-a-corrupcao-do-inpi-republicacao.pdf;
#CC2288;Marcas;Portaria Normativa PR;69;27/04/2026;Vigente;#007e5d;Altera a Portaria INPI/PR nº 07, de 14 de janeiro de 2022, para instituir regra de transição aplicável ao exame de pedidos de registro de desenho industrial, em razão da vigência da segunda edição do Manual deDesenhos Industriais;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-69-alteracao-normativa-para-instituir-regra-de-transicao-aplicavel-ao-exame-de-pedidos-de-registro-de-desenho-industrial.pdf;
#CC2288;Marcas;Portaria Normativa PR;68;15/04/2026;Vigente;#007e5d;Dispõe sobre as modalidades de Projeto-pilotode trâmite prioritário de marcas no âmbito do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-68-indicacao-de-mais-de-um-registro-para-fins-de-reconhecimento-do-alto-renome-de-marca.pdf;
#CC2288;Marcas;Portaria Normativa PR;67;10/04/2026;Vigente;#007e5d;Estabelece o sistema de cotas e os critérios de recepção de requerimentos da fase II do Projeto-piloto de trâmite prioritário de marcas no âmbitodo INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-67-estabelece-o-sistema-de-cotas-e-os-criterios-de-recepcao.pdf;
#CC2288;Marcas;Portaria Normativa PR;66;10/04/2026;Vigente;#007e5d;Dispõe sobre as modalidades de Projeto-pilotode trâmite prioritário de marcas no âmbito do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-66-dispoe-sobre-as-modalidades-do-projeto-piloto-de-tramite-prioritario-de-marcas-no-ambito-do-inpi.pdf;
#3366CC;Institucional;Portaria Normativa  PR;65;07/04/2026;Vigente;#007e5d;Aprova o Código de Ética da Unidade de Auditoria Interna do Instituto Nacional da Propriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-65-atualizacao-do-codigo-de-etica-da-audit-inpi.pdf;
#3366CC;Institucional;Portaria Normativa PR;64;30/03/2026;Vigente;#007e5d;Dispõe sobre alteração e prorrogaçãodo Plano de Negócio da Auditoria Interna do INPI 2023-2025, aprovadopela Portaria INPI/PR/AUDIT nº 02, de16 de junho de 2023;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-64-prorrogar-o-plano-de-negocio-da-auditoria-interna-do-inpi-2023-2025-ate-31-de-dezembro-de-2026.pdf;
#3366CC;Institucional;Portaria Normtiva PR;63;20/03/2026;Vigente;#007e5d;Aprova o Plano de Trabalho da Comissão de Ética do Instituto Nacional da Propriedade Industiral 2026;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-63-aprovacao-do-plano-de-trabalho-da-comissao-de-etica-do-inpi-2013-exercicio-2026.pdf;
#3366CC;Institucional;Portatia Normativa PR;62;20/03/2026;Vigente;#007e5d;Define os indicadores e as metas de desempenho institucional do Instituto Nacional da Propriedade Industrial - INPI e suas respectivas fórmulas de apuração para o período de 1º de janeiroa 31 de dezembro de 2026, com vistas à concessão da Gratificação de Desempenho de Atividade da Área de Propriedade Industrial –GDAPI e da Gratificação de Desempenho de Atividade da Área deCiência e Tecnologia – GDACT;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-62-indicadores-e-metas-de-desempenho-institucional-para-fins-de-gdapi-e-gdact-2026.pdf;
#3366CC;Institucional;Portaria Normativa PR;61;13/03/2026;Vigente;#007e5d;Dispõe sobre a criação e o funcionemanto de unidades virtuais no âmbito do Instituto Nacional da Propriedade Industrial e sobre o regime de trabalho dos servidores nelas lotados;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-61-portaria-normativa-que-dispoe-sobre-a-criacao-e-o-funcionamento-de-unidades-virtuais-no-ambito-do-inpi.pdf;
#3366CC;Institucional;Portaria Normativa PR;60;10/03/2026;Vigente;#007e5d;Altera o item 2.2 do Anexo à Portaria INPI/PR nº 10, de 08 de março de 2024, que aprova as Diretrizes de Instrução de Recursos e Processos Administrativos de Nulidade;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-60-alteracao-das-diretrizes-de-instrucao-de-recursos-portaria-inpi-pr-no-10-2024.pdf;
#3366CC;Institucional;Portaria Normativa PR;58;23/02/2026;Vigente;#007e5d;Estabelece procedimentos internos para implementação da Medida Provisória nº 1.335, de 22 de janeiro de 2026 que dispõe sobre regime especial de proteção de marcas e desenhos industriais relacionados à Copa do Mundo Feminina da FIFA 2027;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-58-portaria-normativa-para-regulamentacao-da-medida-provisoria-no-1-335-2026-copa-do-mundo-feminina-da-fifa-2027.pdf;
#3366CC;Institucional;Portaria Normativa PR ;57;05/02/2026;Vigente;#007e5d;Institui a Política de Gestão da Inovação do Instituto Nacional da Propriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-57-institui-a-politica-de-gestao-da-inovacao-do-instituto-nacional-da-propriedade-industrial-2013-inpi.pdf;
#3366CC;Institucional;Portaria Normativa PR;56;03/02/2026;Vigente;#007e5d;Dispõe sobre a criação da modalidade de exame prioritário de marcas de eventos oficiais do Governo Federal e da fila excepcional para marcas figurativas sem oposição e altera requisitos e processamento do exame prioritário;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-56-autorizacao-de-edicao-de-portaria-normativa-para-criar-modalidade-de-exame-prioritario-de-marcas-de-eventos-oficiais-do-gf.pdf;
#3366CC;Institucional;Portaria Normativa PR;55;30/01/2026;Vigente;#007e5d;Torna público o Plano de Ação do Instituto Nacional da Propriedade Industrial - INPI para oano de 2026;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-055-torna-publico-o-plano-de-acao-do-instituto-nacional-da-propriedade-industrial-inpi-para-o-ano-de-2026.pdf;
#3366CC;Institucional;Portaria Normativa PR;54;03/02/2026;Vigente;#007e5d;Estabelecer as denominações e relações hierárquica entre as unidades organizacionais do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-54-estabelecer-as-denominacoes-e-relacoes-hierarquica-entre-as-unidades-organizacionais-do-inpi.pdf;
#3366CC;Institucional;Portaria Normativa PR;53;30/01/2026;Vigente;#007e5d;Altera estrutura do Instituto Nacional da Propriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-53-realoca-e-altera-denominacao-de-unidades-do-instituto-nacional-da-propriedade-industrial-inpi.pdf;
#3366CC;Institucional;Portaria Normativa PR;52;28/01/2026;Vigente;#007e5d;Define os Processos de Nível 1 (Macroprocessos) e seus respectivos donos no Instituto Nacional da Propriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2026pr-52-define-os-processos-de-nivel-1-macroprocessos-e-seus-respectivos-donos-no-instituto-nacional-da-propriedade-industrial-inpi.pdf;
#3366CC;Institucional;Portaria Normativa PR;51;08/01/2026;Vigente;#007e5d;Confere publicidade aos resultados finais referentes às notas de desempenho dos indicadores de desempenho do Instituto Nacional da Propriedade Industrial - INPI em 2025;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-51-resultados-finais-da-avaliacao-de-desempenho-institucional-para-fins-de-gdapi-gdact-do-ano-de-2025.pdf;
#CC2288;Marcas;Portaria Normativa PR;50;23/01/2026;Vigente;#007e5d;Dispõe sobre as condições para o registro das Indicações Geográficas e altera dispositivos da Portaria INPI/PR nº 04, de 12 de janeiro de 2022;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-50-alteracao-da-portaria-inpipr-no-04-2022-para-aprimoramento-do-exame-de-ig.pdf;
#3366CC;Institucional;Portaria Normativa PR;49;22/01/2026;Vigente;#007e5d;Aprova a Agenda Regulatória do Instituto Nacional da Propriedade Industrial - INPI para o triênio 2026 -2028;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-49-agenda-regulatoria-inpi-2026-2028.pdf;
#CC2288;Marcas;Portaria Normativa PR;48;19/01/2026;Vigente;#007e5d;Dispõe sobre a dispensa de verificação delegítimo interesse em petições de caducidade sem manifestação, protocoladas entre 1º de agosto de 2023 e 30 de setembrode 2024, e altera a Portaria INPI/PR n° 08, de17 de janeiro de 2022;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-48-portaria-que-dispensa-verificacao-de-legitimo-interesse-em-peticoes-de-caducidade.pdf;
#3366CC;Institucional;Poraria Normativa PR;47;14/01/2026;Vigente;#007e5d;Estabelece as diretrizes e os procedimentos para a gestão orçamentária das despesas discricionárias do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-47-procedimentos-para-a-gestao-orcamentaria-revisao-pr-41-24.pdf;
#3366CC;Institucional;Portaria Normativa PR;45;09/01/2026;Vigente;#007e5d;Divulga os dias de feriados e estabelece os dias de ponto facultativo regionais no ano de 2026;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/2025pr-45-feriados-e-estabelece-os-dias-de-ponto-facultativo-regionais-no-ano-de-2026.pdf;
#5D3B8F;Patentes;Portaria DIRPA;17;04/12/2025;Vigente;#007e5d;Estabelecer os critérios de suspensão temporária da recepção de requerimentos de trâmite prioritário de processos de patente;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-dirpa-17-2025.pdf;
#3366CC;Institucional;Resolução CGD;10;06/11/2025;Vigente;#007e5d;Publicação do Plano Diretor de Tecnologia da Informação e Comunicação - PDTIC versão 1.8, para o exercício de 2024-2026;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/r-cgd10-2025.pdf;
#3366CC;Institucional;Resolução CGD;9;28/10/2025;Vigente;#007e5d;Dispõe sobre a Estratégia de Uso de Software e de Serviços de Computação em Nuvem no âmbito do Instituto Nacional da Propriedade Industrial;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/r-cgd-09-2025.pdf;
#3366CC;Institucional;Resolução CGD;8;20/08/2025;Vigente;#007e5d;Publicação do Plano Diretor de Tecnologia da Informação e Comunicação - PDTIC versão 1.7, para o exercício de 2024-2026;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/r-cgd-08-2025.pdf;
#3366CC;Institucional;Resolução CGD;7;20/08/2025;Vigente;#007e5d;Publicação do Plano Estratégico de Tecnologia da Informação e Comunicação - PETIC do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/r-cgd-07-2025.pdf;
#3366CC;Institucional;Portaria PR;44;31/12/2025;Revogado;#780116;Estabelecer as denominações e relações hierárquica entre as unidades organizacionais do INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-44-2025.pdf;
#3366CC;Institucional;Portaria PR;43;29/12/2025;Vigente;#007e5d;Realoca Funções Comissionadas Executivas - FCE;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-43-2025.pdf;
#3366CC;Institucional;Portaria PR;42;23/12/2025;Vigente;#007e5d;Aprova o Plano Anual de Auditoria Interna do INPI relativo ao exercício de 2026 -PAINT/2026;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-42-2025.pdf;
#3366CC;Institucional;Portaria PR;41;04/12/2025;Revogado;#780116;Institui a Política Antifraude e Anticorrupção do Instituto Nacional daPropriedade Industrial - INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-41-2025.pdf;
#3366CC;Institucional;Portaria PR;40;01/12/2025;Vigente;#007e5d;Institui o Programa de Desenvolvimento em Propriedade Industrial - PDPI, com vistas à promoção de projetos de pesquisa em temas que contribuam diretamente para a modernização equalificação das atividades desempenhadas pelo INPI;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-40-2025.pdf;
#3366CC;Institucional;Portaria PR;39;01/12/2025;Revogado;#780116;Altera os arts. 2º e 4º da Portaria INPI/PR nº 29, de 25 de julho de 2025, que estabelece os critérios de recepção de requerimentos da fase I do Projeto-piloto de trâmite prioritário de marcas no âmbito do INPI.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-39-2025.pdf;
#3366CC;Institucional;Portaria PR;38;27/11/2025;Vigente;#007e5d;Torna público o Plano de Ação do Instituto Nacional da Propriedade Industrial - INPI, na sua versão atualizada.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-38-2025.pdf;
#3366CC;Institucional;Portaria PR;37;17/11/2025;Vigente;#007e5d;Dispõe sobre a fixação dos valores das bolsas de pesquisa no âmbito Programa de Desenvolvimento em Propriedade Industrial (PDPI) do Instituto Nacional da Propriedade Industrial (INPI).;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/p-pr-37-2025.pdf;
#3366CC;Institucional;Instrução Normativa PR;5;09/01/2026;Vigente;#007e5d;Dispõe sobre o procedimento de apuração de infrações, aplicação e dosimetria de sanções administrativas cometidas durante a fase licitatória e de execução contratual, previstas nos arts. 155 a 163 da Lei nº 14.133, de 1º de abril de 2021, no âmbito do Instituto Nacional da Propriedade Industrial - INPI.;https://www.gov.br/inpi/pt-br/central-de-conteudo/legislacao/arquivos/documentos/in-pr-05-2026.pdf;
