"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"";"";"3.6.5 Petições relativas a anotações de transferência de titularidade, de limitação ou ônus ou alteração de";"nome, endereço e sede ........................................................................................................................................ 68 4 4.2.1.1 Protocolo .......................................................................................................................................... 84 4.2.1.2 Dados do requerente ........................................................................................................................ 85 4.2.1.3 Autor .....................................................................................................................................";"nome, endereço e sede ........................................................................................................................................ 68 4 4.2.1.1 Protocolo .......................................................................................................................................... 84 4.2.1.2 Dados do requerente ........................................................................................................................ 85 4.2.1.3 Autor ................................................................................................................................................. 85 5.3.1.1 Identificação do produto .................................................................................................................. 96 5.3.1.2 Identificação das características visuais da configuração externa do desenho industrial ............. 100 5.3.1.3 Identificação das características ornamentais ............................................................................... 102 5.3.2.1 Contrário à moral e aos bons costumes ......................................................................................... 103 5.3.2.2 Forma comum ou vulgar ................................................................................................................. 103 5.3.2.3 Forma essencialmente técnica ou funcional .................................................................................. 104 5.3.3.1 Divisão do pedido de registro de desenho industrial ..................................................................... 111 5.3.4.1 Qualidade da representação .......................................................................................................... 113 5.3.4.2 Suficiência descritiva ........................."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"";"1 Disposições gerais";"I";"Informações sobre acesso aos serviços prestados pela Diretoria de Marcas, Desenhos Industriais e Indicações Geográficas, retribuições, cumprimento de prazos, atendimento ao usuário, vistas de processo e demais normas de caráter geral."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.1 Normas aplicáveis ao exame de desenhos industriais";"1.1 Normas aplicáveis ao exame de desenhos industriais";"São aplicáveis ao exame de desenhos industriais: A Constituição Federal: Art. 5º - (...) XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País; Tratados e convenções dos quais o Brasil seja signatário: o Convenção da União de Paris (CUP); o Acordo de Comércio Relacionado aos Direitos de Propriedade Intelectual (TRIPS) - o acordo TRIPS cria uma série de obrigaçõ...";"São aplicáveis ao exame de desenhos industriais: A Constituição Federal: Art. 5º - (...) XXIX - a lei assegurará aos autores de inventos industriais privilégio temporário para sua utilização, bem como proteção às criações industriais, à propriedade das marcas, aos nomes de empresas e a outros signos distintivos, tendo em vista o interesse social e o desenvolvimento tecnológico e econômico do País; Tratados e convenções dos quais o Brasil seja signatário: o Convenção da União de Paris (CUP); o Acordo de Comércio Relacionado aos Direitos de Propriedade Intelectual (TRIPS) - o acordo TRIPS cria uma série de obrigações assumidas pelo governo brasileiro no sentido de estabelecer um patamar mínimo de proteção em matéria de propriedade intelectual na legislação interna sobre o assunto; e o Ato de Genebra do Acordo de Haia - o disposto no Ato de Genebra do Acordo de Haia e em seu Regulamento Comum se aplica somente aos pedidos processados no âmbito do Acordo. Informações adicionais podem ser obtidas no capítulo 11 Acordo de Haia. A Lei nº 9.279/1996 - Lei da Propriedade Industrial (LPI), de 14/05/1996. Toda norma que tenha vinculação ou relação com o Direito da Propriedade Industrial, em seu sentido lato, ainda que contida em outros diplomas legais, tais como as legislações civil e comercial e a relativa a direito de autor."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.2 Meios de comunicação oficial";"1.2 Meios de comunicação oficial";"O meio de comunicação oficial do INPI é a Revista da Propriedade Industrial (RPI), disponível no portal do Instituto, no formato PDF. A publicação da RPI ocorre às terças-feiras, exceto em feriados, quando é publicada no primeiro dia útil imediatamente subsequente.";"O meio de comunicação oficial do INPI é a Revista da Propriedade Industrial (RPI), disponível no portal do Instituto, no formato PDF. A publicação da RPI ocorre às terças-feiras, exceto em feriados, quando é publicada no primeiro dia útil imediatamente subsequente. A observância da data de publicação na RPI é importante, pois inicia a contagem dos prazos legais aplicáveis aos pedidos, registros e petições de desenhos industriais. 10 O INPI disponibiliza ainda a RPI em formato XML com a finalidade de auxiliar a leitura dos dados divulgados na revista por sistemas particulares de gestão e acompanhamento de processos. Este formato, todavia, não é o meio oficial de publicação do INPI. Existem também outros meios não oficiais e acessórios de informação, como a Pesquisa na base de desenhos industriais e o módulo Meus Pedidos, descritos no item 3.10 Acompanhamento de processos."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.3 Meios de protocolo de pedidos e petições";"1.3 Meios de protocolo de pedidos e petições";"A";"As petições ou pedidos de registro de desenhos industriais podem ser encaminhados ao INPI exclusivamente pela internet, por meio do sistema e-DI, disponível no portal do INPI."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.4 Data e hora do protocolo";"1.4 Data e hora do protocolo";"A";"A data e hora do protocolo dos requerimentos será a mesma do envio do formulário eletrônico e estará disponível no comprovante de envio do respectivo requerimento."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.5 Legitimidade para a prática de atos";"1.5 Legitimidade para a prática de atos";"Pessoas físicas ou pessoas jurídicas domiciliadas no Brasil Podem praticar atos no INPI as pessoas físicas ou jurídicas domiciliadas no país, independentemente de possuir ou não procurador. Pessoas físicas ou pessoas jurídicas domiciliadas no exterior Requerentes domiciliados no exterior devem constituir um representante legal no Brasil, por meio de instrumento de procuração que inclua poderes para receber citações judiciais, conforme estabelece o art. 217 da LPI.";"Pessoas físicas ou pessoas jurídicas domiciliadas no Brasil Podem praticar atos no INPI as pessoas físicas ou jurídicas domiciliadas no país, independentemente de possuir ou não procurador. Pessoas físicas ou pessoas jurídicas domiciliadas no exterior Requerentes domiciliados no exterior devem constituir um representante legal no Brasil, por meio de instrumento de procuração que inclua poderes para receber citações judiciais, conforme estabelece o art. 217 da LPI. Procuradores A procuração é o documento através do qual o(s) requerente(s) elege(m) um representante legal para representar seus interesses junto ao INPI. Para que esse documento seja considerado válido pelo órgão, é necessário que contenha os dados do(s) outorgante(s), do outorgado, os poderes que estão sendo concedidos, além de data, local e assinatura do(s) outorgante(s). Essa procuração deve ser redigida em português e, caso o original esteja em outro idioma, o usuário deve apresentar a sua tradução, não havendo necessidade da apresentação de legalização consular e reconhecimento de firma. O instrumento de procuração deve ser apresentado no momento do primeiro ato da parte (procurador) no processo, seja na apresentação de um pedido de registro ou de uma petição de desenho industrial, ou em até 60 (sessenta) dias da data do protocolo do pedido de registro ou da petição. 11 Caso a procuração não seja apresentada no prazo devido, o pedido de registro de desenho industrial será definitivamente arquivado, conforme estabelecido no parágrafo segundo do art. 216 da LPI. Informações adicionais sobre o exame do instrumento de procuração podem ser obtidas nos itens 3.7.1 Procuração e documentação referente à prática conjunta de atos e 5.1 Análise da procuração. Requerente menor de 18 anos Os menores de 18 anos poderã..."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.6 Prazos";"1.6 Prazos";"Os prazos estabelecidos na LPI, como regra geral, começam a ser contados a partir da data de publicação na RPI. A contagem inicia-se no primeiro dia útil após a publicação e se baseia em dias contínuos. 12 Após o fim do prazo estipulado, extingue-se o direito de praticar o ato, exceto quando couber devolução de prazo, nos termos do art. 221 da LPI e da Portaria INPI/PR nº 049/2021, por evento imprevisto, alheio à vontade da parte, que a impeça de praticar o ato.";"Os prazos estabelecidos na LPI, como regra geral, começam a ser contados a partir da data de publicação na RPI. A contagem inicia-se no primeiro dia útil após a publicação e se baseia em dias contínuos. 12 Após o fim do prazo estipulado, extingue-se o direito de praticar o ato, exceto quando couber devolução de prazo, nos termos do art. 221 da LPI e da Portaria INPI/PR nº 049/2021, por evento imprevisto, alheio à vontade da parte, que a impeça de praticar o ato."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"1 Disposições gerais";"1.7 Retribuições";"1.7 Retribuições";"As retribuições pelos serviços do INPI estão expressas na Tabela de Retribuições, disponível no portal do INPI. Conforme disposto na Portaria INPI/PR n º 10/2025, de 09 de maio de 2025, beneficiam-se de redução de 50% no valor de retribuições: pessoas naturais (somente se estas não detiverem participação societária em empresa do ramo a que pertence o item a ser registrado, desde que a empresa, por si, não tenha já direito ao desconto); microempresas, microempreendedor individual e empresas de pequeno porte, assim definidas na Lei Complementar nº 123, de 14 de dezembro de 2006; empresas simples de inovação, assim...";"As retribuições pelos serviços do INPI estão expressas na Tabela de Retribuições, disponível no portal do INPI. Conforme disposto na Portaria INPI/PR n º 10/2025, de 09 de maio de 2025, beneficiam-se de redução de 50% no valor de retribuições: pessoas naturais (somente se estas não detiverem participação societária em empresa do ramo a que pertence o item a ser registrado, desde que a empresa, por si, não tenha já direito ao desconto); microempresas, microempreendedor individual e empresas de pequeno porte, assim definidas na Lei Complementar nº 123, de 14 de dezembro de 2006; empresas simples de inovação, assim definidas na Lei Complementar 167/2019; instituições científicas, tecnológicas e de Inovação - ICT, conforme Lei nº 10.973/2004; entidades sem fins lucrativos, bem como órgãos públicos nacionais. Pessoas físicas hipossuficientes ou com deficiência (PcD) beneficiam-se de desconto de 100% aplicável somente a serviços elegíveis. Os descontos não incidem sobre todos os serviços. Em petições referentes a processos em regime de cotitularidade, para fazer jus aos descontos, todos os requerentes deverão atender aos critérios estabelecidos na Resolução INPI/PR nº 251/2019. As retribuições são efetuadas por meio da Guia de Recolhimento da União (GRU), o documento de arrecadação do INPI. Caso tenha recolhido retribuição desnecessária, o requerente poderá solicitar sua devolução mediante petição específica. Trata-se de um serviço isento (Código de serviço 801) que se encontra na Tabela de Retribuições da Diretoria de Administração do INPI (DIRAD) e deverá obedecer aos procedimentos regulamentados por aquela Diretoria, também disponíveis no portal do INPI."
"manual-de-desenhos-industriais.md";"Desenhos Industriais";"220 da LPI.";"1.9 Atendimento ao usuário";"1.9 Atendimento ao usuário";"O usuário pode enviar suas dúvidas e questionamentos pelo sistema Fale Conosco, canal integrante da Plataforma Integrada de Atendimento, acessível na primeira página do portal do INPI. No formulário referente ao Fale Conosco, o requerente deve selecionar o Assunto/Área de Interesse de acordo com a dúvida ou questionamento: Sistemas - Problema de acessos a serviços: dúvidas referentes ao acesso aos serviços do e-INPI.";"O usuário pode enviar suas dúvidas e questionamentos pelo sistema Fale Conosco, canal integrante da Plataforma Integrada de Atendimento, acessível na primeira página do portal do INPI. No formulário referente ao Fale Conosco, o requerente deve selecionar o Assunto/Área de Interesse de acordo com a dúvida ou questionamento: Sistemas - Problema de acessos a serviços: dúvidas referentes ao acesso aos serviços do e-INPI. Sistemas - Cadastro, acesso, correções: dúvidas referentes à utilização de login e senha e ao cadastro no e- INPI. 13 Desenho Industrial (Área Administrativa): dúvidas quanto aos procedimentos de depósito, sigilo do pedido, prazos para prática dos atos, sigilo do autor, exame formal, alteração de nome e sede, transferências, renúncias, desistências, prorrogação e quinquênios, extinção do registro, pedidos de cópia digital, devolução de prazo, certidões, expedição de certificados. Desenho Industrial (Área de Exame): dúvidas quanto à registrabilidade do desenho industrial, escopo da proteção, procuração, prioridade unionista, período de graça, prazos para prática dos atos, requisitos legais para concessão do registro, exame técnico, exame de mérito, cumprimento de exigência técnica e arquivamento. Desenho Industrial (Acordo de Haia): dúvidas quanto ao registro de desenhos industriais no Brasil pela via do Ato de Genebra do Acordo de Haia ou dúvidas quanto ao processamento de designações recebidas por esta via. Recursos e Processos Administrativos de Nulidade: questões referentes a pedidos, registros ou petições de desenho industrial em fase de recurso ou processo administrativo de nulidade. O INPI encaminha a resposta para o e-mail informado no campo específico do formulário do sistema Fale Conosco."
