"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"";"";"7.1.5 Documentos que comprovem a influência do meio geográfico nas qualidades ou características do";"produto ou serviço, no caso de DO ...................................................................................................................... 76 3 Modelos ...................................................................................................................................................................... 109 Declaração de Estabelecimento na Área Delimitada (modelo II) ........................................................................... 109 Declaração de Único Produtor/Prestador de Serviço (modelo III) ......................................................................... 109 I...";"produto ou serviço, no caso de DO ...................................................................................................................... 76 3 Modelos ...................................................................................................................................................................... 109 Declaração de Estabelecimento na Área Delimitada (modelo II) ........................................................................... 109 Declaração de Único Produtor/Prestador de Serviço (modelo III) ......................................................................... 109 Instrumento Oficial de Delimitação da Área Geográfica (Modelo IV) .................................................................... 109 4 Introdução O presente Manual tem por finalidade consolidar diretrizes e procedimentos de exame de Indicações Geográficas (IG), bem como instruções para a formulação de pedidos de registro e acompanhamento de processos, servindo, portanto, como referência para examinadores, procuradores e usuários em geral. Regulamentado pela Portaria INPI/PR nº 4/2022, o Manual de Indicações Geográficas recebe atualizações periódicas, promovidas pelo Comitê Permanente de Aprimoramento dos Procedimentos e Diretrizes de Exame de Marcas, Desenhos Industriais e Indicações Geográficas – CPAPD. Tais atualizações, realizadas de forma contínua desde janeiro de 2025, são resultado do aperfeiçoamento dos procedimentos existentes e da inclusão de novas diretrizes referentes ao registro de indicações geográficas. Sua última atualização ocorreu em 03 de fevereiro de 2026. O detalhamento das alterações pode ser conferido na página de Atualizações. Anexo a este Manual, encontra-se o Guia do Peticionamento Eletrônico – Sistema e-IG, no qual estão dispostas..."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"1 Disposições gerais";"1.1 Normas aplicáveis às Indicações Geográficas";"1.1 Normas aplicáveis às Indicações Geográficas";"No Brasil, as Indicações Geográficas (IG) encontram amparo legal na Lei nº 9.279, de 14 de maio de 1996 (Lei nº 9.279/96), que regula direitos e obrigações relativos à propriedade industrial, conhecida também como Lei da Propriedade Industrial (LPI). De acordo com o parágrafo único do art. 182 da LPI, o INPI estabelecerá as condições de registro das IG.";"No Brasil, as Indicações Geográficas (IG) encontram amparo legal na Lei nº 9.279, de 14 de maio de 1996 (Lei nº 9.279/96), que regula direitos e obrigações relativos à propriedade industrial, conhecida também como Lei da Propriedade Industrial (LPI). De acordo com o parágrafo único do art. 182 da LPI, o INPI estabelecerá as condições de registro das IG. Com vistas a estabelecer tais condições, o Instituto publicou diversas normas, estando hoje em vigor a Portaria INPI/PR nº 4, de 12 de janeiro de 2022. Esta portaria também dispõe sobre o Módulo de Peticionamento Eletrônico de Indicações Geográficas do Sistema Eletrônico de Gestão de Propriedade Industrial (Sistema e-IG). No que diz respeito aos tratados dos quais o Brasil faz parte e que versam sobre o tema, citam-se: a Convenção da União de Paris (CUP) e o Acordo sobre Aspectos dos Direitos de Propriedade Intelectual Relacionados ao Comércio (ADPIC ou TRIPS, na sigla em inglês). Esses tratados, ao estabelecerem um patamar mínimo de proteção em matéria de propriedade intelectual, incluindo IG, criaram uma série de obrigações ao governo brasileiro. Deverão ser igualmente observadas quaisquer previsões que tenham vinculação ou relação direta com o Direito da Propriedade Industrial, ainda que contidas em outras normas internas do INPI, diplomas legais nacionais ou tratados a que o Brasil venha a aderir."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"1 Disposições gerais";"1.2 Meio de comunicação oficial";"1.2 Meio de comunicação oficial";"O meio de comunicação oficial do INPI é a Revista da Propriedade Industrial (RPI), disponível no portal do Instituto, em formato PDF. A publicação da RPI ocorre às terças-feiras, exceto feriados, quando é publicada no primeiro dia útil imediatamente subsequente.";"O meio de comunicação oficial do INPI é a Revista da Propriedade Industrial (RPI), disponível no portal do Instituto, em formato PDF. A publicação da RPI ocorre às terças-feiras, exceto feriados, quando é publicada no primeiro dia útil imediatamente subsequente. É importante observar a data de publicação da RPI, pois é a partir dela que se inicia a contagem dos prazos legais aplicáveis a registros, pedidos e petições de IG."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"1 Disposições gerais";"1.3 Meio de protocolo de pedidos e petições";"1.3 Meio de protocolo de pedidos e petições";"As petições ou pedidos de registro de IG devem ser protocolados junto ao INPI exclusivamente pela internet, por meio do Sistema e-IG, disponível no portal do INPI. Recomenda-se a leitura do Guia do Peticionamento Eletrônico – Sistema e-IG. 6";"As petições ou pedidos de registro de IG devem ser protocolados junto ao INPI exclusivamente pela internet, por meio do Sistema e-IG, disponível no portal do INPI. Recomenda-se a leitura do Guia do Peticionamento Eletrônico – Sistema e-IG. 6"
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"1 Disposições gerais";"1.4 Data e hora do protocolo";"1.4 Data e hora do protocolo";"De acordo com os arts. 6º e 7º da Portaria nº 4/22, os formulários eletrônicos do Sistema e-IG poderão ser preenchidos e enviados de segunda a domingo, durante as 24 (vinte e quatro) horas do dia. Considera-se como data e hora do recebimento do formulário pelo INPI o indicado no recibo de protocolo expedido ao usuário.";"De acordo com os arts. 6º e 7º da Portaria nº 4/22, os formulários eletrônicos do Sistema e-IG poderão ser preenchidos e enviados de segunda a domingo, durante as 24 (vinte e quatro) horas do dia. Considera-se como data e hora do recebimento do formulário pelo INPI o indicado no recibo de protocolo expedido ao usuário. O sistema segue o horário de Brasília – DF. Mais informações sobre o tema encontram-se no Guia do Peticionamento Eletrônico – Sistema e-IG."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"1 Disposições gerais";"1.5 Legitimidade para a prática de atos";"1.5 Legitimidade para a prática de atos";"Podem praticar atos junto ao INPI os requerentes de registro de IG, na qualidade de substitutos processuais, e seus procuradores, de acordo com o art. 14 da Portaria INPI nº 4/22. O mesmo é permitido às pessoas físicas ou jurídicas que desejam protocolar manifestação em: a) Oposição a pedidos de registro; ou b) Pedido de alteração de registro, na qualidade de terceiros interessados.";"Podem praticar atos junto ao INPI os requerentes de registro de IG, na qualidade de substitutos processuais, e seus procuradores, de acordo com o art. 14 da Portaria INPI nº 4/22. O mesmo é permitido às pessoas físicas ou jurídicas que desejam protocolar manifestação em: a) Oposição a pedidos de registro; ou b) Pedido de alteração de registro, na qualidade de terceiros interessados. Em ambos os casos, é permitida a manifestação tanto contra quanto a favor do pedido, de modo a, respectivamente, contestá-lo ou endossá-lo por meio de documentação complementar. Podem ser substitutos processuais a associação, o sindicato ou qualquer outra entidade que atue como tal, em razão da lei. No caso de haver um único produtor ou prestador de serviço, pessoa física ou jurídica, com legitimidade para usar a IG, estará o mesmo autorizado a requerer o registro ou alterá-lo. Em se tratando de IG estrangeira já reconhecida no seu país de origem, conforme legislação pátria, o registro deverá ser solicitado pelo requerente legitimado, isto é, por pessoa física ou jurídica que solicitou e obteve a proteção em território estrangeiro ou o reconhecimento por organismos internacionais. Nesse caso, é obrigatório constituir procurador domiciliado no Brasil, requisito dispensável aos requerentes nacionais. Mais informações sobre o tema encontram-se no item 6.1 Requerente do Registro."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"1 Disposições gerais";"1.6 Prazos";"1.6 Prazos";"De acordo com os arts. 221 a 224 da LPI, os prazos se iniciam no primeiro dia após a publicação da RPI e são contados em dias contínuos. Na contagem dos prazos, exclui-se o dia do começo e inclui-se o do vencimento. 7 De modo geral, o prazo para se praticar atos, tais como manifestação de terceiros e cumprimento de exigência, é de";"De acordo com os arts. 221 a 224 da LPI, os prazos se iniciam no primeiro dia após a publicação da RPI e são contados em dias contínuos. Na contagem dos prazos, exclui-se o dia do começo e inclui-se o do vencimento. 7 De modo geral, o prazo para se praticar atos, tais como manifestação de terceiros e cumprimento de exigência, é de"
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"60 (sessenta) dias.";"";"60 (sessenta) dias.";"A";"Após o fim do prazo estipulado, extingue-se o direito de praticar o ato, exceto quando couber devolução de prazo, nos termos do art. 221 da LPI e da Portaria INPI/PR nº 049/2021, por evento imprevisto, alheio à vontade da parte, que a impeça de praticar o ato."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"60 (sessenta) dias.";"1.7 Retribuições";"1.7 Retribuições";"A Tabela de Retribuições referente aos serviços prestados pelo INPI encontra-se disponível no portal do INPI. Os valores para pedido de registro de Indicação de Procedência (IP) e de Denominação de Origem (DO) são distintos.";"A Tabela de Retribuições referente aos serviços prestados pelo INPI encontra-se disponível no portal do INPI. Os valores para pedido de registro de Indicação de Procedência (IP) e de Denominação de Origem (DO) são distintos. Conforme disposto na Portaria INPI/PR n º 10/2025, de 09 de maio de 2025, beneficiam-se de redução de 50% no valor de retribuições: pessoas naturais (somente se estas não detiverem participação societária em empresa do ramo a que pertence o item a ser registrado, desde que a empresa, por si, não tenha já direito ao desconto); microempresas, microempreendedor individual e empresas de pequeno porte, assim definidas na Lei Complementar nº 123, de 14 de dezembro de 2006; empresas simples de inovação, assim definidas na Lei Complementar 167/2019; instituições científicas, tecnológicas e de Inovação - ICT, conforme Lei nº 10.973/2004; entidades sem fins lucrativos, bem como órgãos públicos nacionais. Pessoas físicas hipossuficientes ou com deficiência (PcD) beneficiam-se de desconto de 100% aplicável somente a serviços elegíveis. Os descontos não incidem sobre todos os serviços. As retribuições são efetuadas via Guia de Recolhimento da União (GRU), documento de arrecadação do INPI, instituído pelo Ministério da Fazenda para que o cidadão efetue pagamentos à Administração Pública Federal. Caso seja necessário complementar ou restituir o valor da retribuição recolhida, o requerente poderá solicitar tais serviços mediante petição específica. O INPI não envia boletos, nem realiza cobranças via e-mail ou telefone. A única forma de recolhimento de retribuições pelo Instituto é por meio de GRU, gerada pelo próprio usuário ou por seu procurador no portal do INPI."
"manual-de-indicacoes-geograficas.md";"Indicacoes Geograficas";"220 da LPI.";"1.9 Atendimento ao usuário";"1.9.1 Atendimento virtual";"O atendimento virtual ocorre via Sistema Fale Conosco, canal integrante da plataforma de atendimento integrado, acessível na página inicial do portal do INPI. 8 No formulário eletrônico, o usuário deverá selecionar o Assunto/Área de Interesse de acordo com a demanda: Sistemas - Problema de acessos a serviços: dúvidas referentes ao acesso aos serviços do e-INPI. Sistemas - Cadastro, acesso, correções: dúvidas referentes à utilização de login e senha e ao cadastro no e- INPI.";"O atendimento virtual ocorre via Sistema Fale Conosco, canal integrante da plataforma de atendimento integrado, acessível na página inicial do portal do INPI. 8 No formulário eletrônico, o usuário deverá selecionar o Assunto/Área de Interesse de acordo com a demanda: Sistemas - Problema de acessos a serviços: dúvidas referentes ao acesso aos serviços do e-INPI. Sistemas - Cadastro, acesso, correções: dúvidas referentes à utilização de login e senha e ao cadastro no e- INPI. Indicação Geográfica – Área de Exame: assuntos referentes à matéria, incluindo pedidos ou registros de IG, dúvidas quanto aos procedimentos de depósito, procuração, prazos para a prática de atos, exame, desistências, renúncias, devolução de prazo, entre outros; Indicação Geográfica – Área Administrativa: dúvidas quanto à alteração de nome, razão social, sede e/ou endereço; pedidos de cópia digital e certidões; expedição e pedidos de 2ª via, entre outros; Recursos e Processos Administrativos de Nulidade: recursos envolvendo decisões de concessão/indeferimento de pedidos de registro de IG ou deferimento/indeferimento de pedidos de alteração de registro; Cooperação Nacional: participação do INPI em capacitações ou demais eventos relacionados à matéria em território nacional; e Curso de Extensão em PI e Ensino a Distância: cursos oferecidos pelo INPI ou feitos em parceria com o Instituto. As respostas do Fale Conosco são encaminhadas para o correio eletrônico (e-mail) informado pelo usuário no campo específico do formulário eletrônico."
