"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-programas-de-computador.md";"Programas de Computador";"1 INTRODUÇÃO";"";"1 INTRODUÇÃO";"Direito autoral é o ramo do direito que incide, dentre outras obras intelectuais, sobre expressões literais, proibindo que terceiros as copiem, alterem, redistribuam ou vendam sem a autorização do titular do direito dos ativos intangíveis criados. A Lei do Direito Autoral, Lei nº 9.610, de 19 de fevereiro de 1998, define, no seu art. 7º, quais as obras intelectuais são protegidas pelo direito autoral.";"Direito autoral é o ramo do direito que incide, dentre outras obras intelectuais, sobre expressões literais, proibindo que terceiros as copiem, alterem, redistribuam ou vendam sem a autorização do titular do direito dos ativos intangíveis criados. A Lei do Direito Autoral, Lei nº 9.610, de 19 de fevereiro de 1998, define, no seu art. 7º, quais as obras intelectuais são protegidas pelo direito autoral. No inciso XII deste artigo são inseridos também os programas de computador, como obra protegida. O parágrafo 1º informa que os programas de computador são objeto de legislação específica. A proteção à propriedade intelectual dos programas de computador é disciplinada na Lei nº 9.609, de 19 de fevereiro de 1998. De acordo com essa lei, conhecida popularmente como “Lei de Software”, em seu art. 1º, “Programa de computador é a expressão de um conjunto organizado de instruções em linguagem natural ou codificada, contida em suporte físico de qualquer natureza, de emprego necessário em máquinas automáticas de tratamento da informação, dispositivos, instrumentos ou equipamentos periféricos, baseados em técnica digital ou análoga, para fazê-los funcionar de modo e para fins determinados”. Em suma, um programa de computador é um conjunto de instruções ou declarações, escritas em linguagem própria, a serem usadas direta ou indiretamente por um computador, a fim de obter determinado resultado. Na sociedade contemporânea, o computador está cada vez mais presente em todas as atividades humanas, em particular, na inovação, como ocorre, por exemplo, na introdução do smartphone. Em um mundo globalizado, este dispositivo não é somente uma ferramenta de comunicação, mas um aparelho que possui um sistema operacional, como outros computadores, o que possibilita o desenvolvimento de aplicativo..."
"manual-de-programas-de-computador.md";"Programas de Computador";"1 http://www.wipo.int/copyright/en/activities/software.html";"";"1 http://www.wipo.int/copyright/en/activities/software.html";"Manual do Usuário | e-Software Manual do Usuário para o Registro Eletrônico de Programas de Computador Versão 1.8.6 Data: 28/07/2022 Página 7 de 50 ➢ Propriedade mais rápida de ser obtida; ➢ Proteção automática para 1762 países; ➢ Proteção da propriedade no ato da sua criação; ➢ Registro independente de exame; ➢ Tempo maior de vigência3 que a lei de patente4. Vale ressaltar que a proteção aos direitos relativos ao programa de computador independe de registro.";"Manual do Usuário | e-Software Manual do Usuário para o Registro Eletrônico de Programas de Computador Versão 1.8.6 Data: 28/07/2022 Página 7 de 50 ➢ Propriedade mais rápida de ser obtida; ➢ Proteção automática para 1762 países; ➢ Proteção da propriedade no ato da sua criação; ➢ Registro independente de exame; ➢ Tempo maior de vigência3 que a lei de patente4. Vale ressaltar que a proteção aos direitos relativos ao programa de computador independe de registro. No entanto, registrar o programa no INPI garante maior segurança jurídica ao seu detentor, caso haja, por exemplo, demanda judicial para comprovar a autoria ou titularidade do programa. Além disso, a proteção não é territorial como no caso das patentes, sendo sua abrangência internacional, compreendendo todos os 176 países signatários da Convenção de Berna (1886). A proteção pela LPI demanda um exame técnico para verificar se o objeto do pedido de patente atende às condições legais: se possui aplicação industrial, novidade e se tem atividade inventiva, o que torna a concessão do direito menos célere. O registro de programa de computador é a forma de garantir sua propriedade e obter a segurança jurídica necessária de modo a proteger o seu ativo de negócio. Um pedido de registo de programa de computador no INPI contém três elementos essenciais: ➢ Uma taxa de depósito, não reembolsável; ➢ Uma Declaração de Veracidade - DV e Procuração (quando houver procurador), assinadas digitalmente; ➢ Um formulário5 eletrônico para o pedido de registro de programa de computador, disponibilizado exclusivamente online através do sistema e-Software. A ideia não é protegida pelo direito autoral. Portanto, para o registro no INPI o programa de computador precisa estar criado, embora não seja obrigatório o depósito da totalidade do códig..."
"manual-de-programas-de-computador.md";"Programas de Computador";"5 Não há formulário de pedido em papel.";"";"5 Não há formulário de pedido em papel.";"M";"Manual do Usuário | e-Software Manual do Usuário para o Registro Eletrônico de Programas de Computador Versão 1.8.6 Data: 28/07/2022 Página 8 de 50"
"manual-de-programas-de-computador.md";"Programas de Computador";"2 COMO FAZER O REGISTRO E RECEBER O CERTIFICADO COM SEGURANÇA";"2.1 CONHECENDO A LEGISLAÇÃO";"2.1 CONHECENDO A LEGISLAÇÃO";"A legislação que regula a proteção dos programas de computador engloba a Lei 9.6096, Lei 9.610 e o Decreto n° 2.5567, de 20 de abril de 1998. Além da Convenção de Berna e da Instrução Normativa nº 099/20198, que estabelece os procedimentos relativos ao registro.";"A legislação que regula a proteção dos programas de computador engloba a Lei 9.6096, Lei 9.610 e o Decreto n° 2.5567, de 20 de abril de 1998. Além da Convenção de Berna e da Instrução Normativa nº 099/20198, que estabelece os procedimentos relativos ao registro."
"manual-de-programas-de-computador.md";"Programas de Computador";"2 COMO FAZER O REGISTRO E RECEBER O CERTIFICADO COM SEGURANÇA";"2.2 CONDIÇÕES PARA USO E PREENCHIMENTO DO FORMULÁRIO ELETRÔNICO E";"2.2 CONDIÇÕES PARA USO E PREENCHIMENTO DO FORMULÁRIO ELETRÔNICO E";"SOFTWARE Como condição para acesso ao formulário eletrônico e-Software é necessário acessar o portal do INPI, realizar um cadastro para habilitação no e-INPI, nos termos da Resolução nº 25/139. Neste, serão gerados login e senha, que serão utilizados para a emissão da Guia de Recolhimento da União – GRU – além de demais solicitações de serviços a serem executados pelo INPI (ver seções 3.1 a 3.3).";"SOFTWARE Como condição para acesso ao formulário eletrônico e-Software é necessário acessar o portal do INPI, realizar um cadastro para habilitação no e-INPI, nos termos da Resolução nº 25/139. Neste, serão gerados login e senha, que serão utilizados para a emissão da Guia de Recolhimento da União – GRU – além de demais solicitações de serviços a serem executados pelo INPI (ver seções 3.1 a 3.3). Recomenda-se que, ao acessar o sistema GRU, sejam conferidas as informações de cadastro como nome, endereço, entre outras, armazenadas neste sistema, e que serão posteriormente utilizadas. Caso seja identificada alguma irregularidade é prudente e importante que seja feita uma atualização no seu cadastro antes de finalizar a GRU, acessando este endereço, em “Alteração de cadastro e emissão de recibo”, disponível no portal do INPI. Todos os serviços10 relativos ao RPC deverão ser solicitados, pelo titular ou seu procurador, ao INPI e só podem ser feitos única e exclusivamente mediante preenchimento do formulário eletrônico e- Software, conforme § 2º do art. 2º da IN nº 099/2019. Entende-se por titular aquele que possui os direitos patrimoniais do programa de computador e que vai instruir o pedido de RPC no INPI, podendo ser nomeado um procurador."
"manual-de-programas-de-computador.md";"Programas de Computador";"2 COMO FAZER O REGISTRO E RECEBER O CERTIFICADO COM SEGURANÇA";"2.2 CONDIÇÕES PARA USO E PREENCHIMENTO DO FORMULÁRIO ELETRÔNICO E";"2.2.1 PEDIDO SOLICITADO PELO TITULAR DO DIREITO";"No caso do titular do direito ser uma pessoa jurídica, a GRU deve ser emitida em nome da pessoa jurídica (ver seção 3.3) e a DV, deve ser assinada pela mesma pessoa jurídica (com o e-CNPJ), nunca por uma pessoa física. No caso do titular do direito ser uma pessoa física, a GRU (ver seção 3.3) deve ser emitida em nome dessa pessoa e é ela quem deve assinar a DV (com seu e-CPF).";"No caso do titular do direito ser uma pessoa jurídica, a GRU deve ser emitida em nome da pessoa jurídica (ver seção 3.3) e a DV, deve ser assinada pela mesma pessoa jurídica (com o e-CNPJ), nunca por uma pessoa física. No caso do titular do direito ser uma pessoa física, a GRU (ver seção 3.3) deve ser emitida em nome dessa pessoa e é ela quem deve assinar a DV (com seu e-CPF)."
"manual-de-programas-de-computador.md";"Programas de Computador";"10 Tabela de Serviços do INPI para RPC pode ser encontrada no Anexo II.";"";"10 Tabela de Serviços do INPI para RPC pode ser encontrada no Anexo II.";"Manual do Usuário | e-Software Manual do Usuário para o Registro Eletrônico de Programas de Computador Versão 1.8.6 Data: 28/07/2022 Página 9 de 50 Ressalvamos que o sistema eletrônico verificará a validade da assinatura digital do titular do direito no documento DV, sendo capaz, por questões técnicas, de aferir a legitimidade do assinante apenas quando o próprio titular assina o documento (ver seção 2.6.3). Por esse motivo, não é possível que representante da pessoa jurídica assine com seu e-CPF.";"Manual do Usuário | e-Software Manual do Usuário para o Registro Eletrônico de Programas de Computador Versão 1.8.6 Data: 28/07/2022 Página 9 de 50 Ressalvamos que o sistema eletrônico verificará a validade da assinatura digital do titular do direito no documento DV, sendo capaz, por questões técnicas, de aferir a legitimidade do assinante apenas quando o próprio titular assina o documento (ver seção 2.6.3). Por esse motivo, não é possível que representante da pessoa jurídica assine com seu e-CPF. IMPORTANTE (1) O documento DV, disponível no módulo da GRU ou no formulário eletrônico, assinado digitalmente pelo INPI, jamais deve ser impresso, ou gerado novo documento PDF como cópia do original. Assim, o sistema não aceitará o documento. O correto é você fazer o download do documento original, assiná-lo digitalmente e anexar este ao formulário eletrônico. Este mesmo alerta deve ser observado para o caso de pedidos solicitados por procurador, ou seja, o documento Procuração Específica jamais deve ser impresso ou gerado novo documento PDF para sua posterior assinatura digital, o correto é fazer o download da Procuração Específica e assinar digitalmente."
"manual-de-programas-de-computador.md";"Programas de Computador";"10 Tabela de Serviços do INPI para RPC pode ser encontrada no Anexo II.";"";"2.2.2 PEDIDO SOLICITADO PELO PROCURADOR";"Se houver um procurador, o titular de direito atuará como outorgante e é ele quem assinará digitalmente a procuração eletrônica; o procurador, ou seja, o outorgado, assinará digitalmente o documento eletrônico Declaração de Veracidade – DV. Neste caso, compete ao procurador a emissão da GRU (ver seção 3.3) utilizando o seu login pessoal e senha, definindo no ato da instrução da GRU a identificação do seu cliente.";"Se houver um procurador, o titular de direito atuará como outorgante e é ele quem assinará digitalmente a procuração eletrônica; o procurador, ou seja, o outorgado, assinará digitalmente o documento eletrônico Declaração de Veracidade – DV. Neste caso, compete ao procurador a emissão da GRU (ver seção 3.3) utilizando o seu login pessoal e senha, definindo no ato da instrução da GRU a identificação do seu cliente. É importante atentar para estes detalhes, pois o sistema verificará, neste caso, a validade da assinatura digital do titular do direito (outorgante) que assinou a procuração, assim como da assinatura digital do procurador (outorgado) que assinará o documento DV. IMPORTANTE (2) Para assinar o documento Declaração de Veracidade – DV, o procurador deverá utilizar seu Certificado Digital de Pessoa Física (e-CPF). Caso a assinatura seja feita a partir de um Certificado Digital de Pessoa Jurídica (e- CNPJ), por exemplo, de um escritório de advocacia, este documento DV será recusado pelo formulário eletrônico e-Software e o pedido de registro não poderá ser protocolado. Lembre-se: o CPF vinculado ao certificado digital usado para assinar digitalmente o documento DV deverá ser sempre igual ao CPF discriminado neste documento (ver seção 2.6.3), o qual, por sua vez, é o mesmo CPF do procurador que está logado no sistema. Manual do Usuário | e-Software Manual do Usuário para o Registro Eletrônico de Programas de Computador Versão 1.8.6 Data: 28/07/2022 Página 10 de 50"
"manual-de-programas-de-computador.md";"Programas de Computador";"10 Tabela de Serviços do INPI para RPC pode ser encontrada no Anexo II.";"";"2.2.3 INSTRUÇÃO DO FORMULÁRIO";"O sistema irá utilizar as informações previamente cadastradas tanto do titular quanto do procurador na geração da GRU e estas informações serão transferidas automaticamente para o formulário eletrônico. Nenhuma documentação em papel deverá ser encaminhada ao INPI, salvo as apresentadas pelo poder judiciário, quando for o caso.";"O sistema irá utilizar as informações previamente cadastradas tanto do titular quanto do procurador na geração da GRU e estas informações serão transferidas automaticamente para o formulário eletrônico. Nenhuma documentação em papel deverá ser encaminhada ao INPI, salvo as apresentadas pelo poder judiciário, quando for o caso. Para solicitar o pedido através do formulário eletrônico e-Software é necessário inserir o “nosso número” (informado na GRU) no campo próprio do e-Software. Desta forma, exceto nos casos de serviços isentos de retribuição, o usuário deve sempre fazer o pagamento da GRU antes de enviar o pedido (ver seção 3.7). É bom lembrar que se for feito agendamento do pagamento, é preciso esperar o dia em que a GRU estará efetivamente paga, sob pena do processo ser considerado como “petição não conhecida”. Para o registro é necessário que o titular ou seu procurador anexe ao formulário eletrônico e-Software o documento DV e procuração eletrônica que estarão disponíveis no e-Software e no módulo da GRU. Estes deverão ser assinados digitalmente (ver seções 2.4 a 2.6 e seção 3.4). O formulário eletrônico e-Software poderá ser enviado a qualquer momento, desde que após o pagamento da GRU, e a data / hora do seu recebimento serão aquelas indicadas pelo provedor do INPI, que consta no protocolo gerado. O titular do registro é responsável pela guarda da informação sigilosa definida no inciso III, § 1º, art. 3º da Lei nº 9.609/98. Ele também é o responsável pela transformação em resumo digital hash11, dos trechos do programa de computador e demais dados considerados suficientes para identificação e caracterização da sua originalidade (código-fonte), que serão objeto do registro (ver seção 2.3)."
"manual-de-programas-de-computador.md";"Programas de Computador";"10 Tabela de Serviços do INPI para RPC pode ser encontrada no Anexo II.";"2.3 PROCEDIMENTOS PARA HASH";"2.3 PROCEDIMENTOS PARA HASH";"A função criptográfica hash é um algoritmo utilizado para garantir a integridade de um documento eletrônico, de modo que um perito técnico possa comprovar que não houve alteração neste documento desde a época em que este foi transformado. Assim, uma simples alteração neste documento acarretará uma alteração do resumo hash original, desconstituindo a prova de integridade do depósito do programa de computador.";"A função criptográfica hash é um algoritmo utilizado para garantir a integridade de um documento eletrônico, de modo que um perito técnico possa comprovar que não houve alteração neste documento desde a época em que este foi transformado. Assim, uma simples alteração neste documento acarretará uma alteração do resumo hash original, desconstituindo a prova de integridade do depósito do programa de computador. Para realizar o registro é necessário promover a transformação, em resumo digital hash, dos trechos do programa de computador e de outros dados que considerar suficientes e relevantes para identificá-lo, ficando a responsabilidade da guarda do objeto com o titular do direito, pois esta é sua propriedade intelectual e deve ser preservada na sua forma original e em ambiente seguro. A apresentação da"
