"Fonte";"Tema";"Secao";"Subsecao";"Topico";"Sintese";"Contexto"
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"1 INTRODUÇÃO";"";"1 INTRODUÇÃO";"Nos últimos anos, a indústria brasileira de circuitos integrados teve um forte impulso com o Programa CI-Brasil 1 . Lançado no ano de 2005, fruto de uma ação conjunta entre o governo federal, empresas e a academia, institui três eixos de ação: incentivar a atividade econômica na área de projetos de circuitos integrados, expandir a formação de projetistas e promover a criação de uma indústria nacional de semicondutores.";"Nos últimos anos, a indústria brasileira de circuitos integrados teve um forte impulso com o Programa CI-Brasil 1 . Lançado no ano de 2005, fruto de uma ação conjunta entre o governo federal, empresas e a academia, institui três eixos de ação: incentivar a atividade econômica na área de projetos de circuitos integrados, expandir a formação de projetistas e promover a criação de uma indústria nacional de semicondutores. Com isso, mais de vinte Designs Houses (DHs), empresas que atuam no desenvolvimento de projetos de circuitos integrados, se instalaram ao longo de todo o território brasileiro. Dentre elas, estão organizações com e sem fins lucrativos, envolvendo, no primeiro caso, empresas privadas nacionais, multinacionais ou startups locais, e, no segundo caso, majoritariamente empresas derivadas (spin-offs) de universidades ou instituições públicas de pesquisa. Além disso, fábricas de circuitos integrados, como o CEITEC – Centro Nacional de Tecnologia Eletrônica Avançada 2 , em Porto Alegre/RS, e a fábrica da HT Micron"
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"3 , localizada no";"";"3 , localizada no";"complexo Tecnosinos, em São Leopoldo/RS, também puderam se estabelecer no país. As duas já fabricaram componentes de grande relevância para a sociedade, como, por exemplo, o “Chip do Boi”, empregado para identificação animal, por parte do CEITEC, e chips encapsulados para cartões bancários e telefones celulares, por parte da HT Micron.";"complexo Tecnosinos, em São Leopoldo/RS, também puderam se estabelecer no país. As duas já fabricaram componentes de grande relevância para a sociedade, como, por exemplo, o “Chip do Boi”, empregado para identificação animal, por parte do CEITEC, e chips encapsulados para cartões bancários e telefones celulares, por parte da HT Micron. Estão previstos ainda, pelo CEITEC, em breve, o fornecimento dos chips para os passaportes brasileiros e para o Documento de Identificação Nacional (DIN) 4 . Em 2018, a americana Qualcomm e a chinesa USI anunciaram uma parceria 5 para a construção de uma fábrica e um centro de desenvolvimento de semicondutores na região de Campinas/SP voltada para a “Internet das Coisas” (IoT, sigla em inglês) e smartphones, fruto de um investimento de US$ 200 milhões ao longo de cinco anos. Tais ações são de extrema relevância, pois permitem a redução das importações desses produtos, movimentando a economia, o mercado interno e fortalecendo a indústria nacional. Essa transformação no cenário brasileiro, no setor de semicondutores, reflete um intenso e crescente desenvolvimento tecnológico ao redor do mundo, impulsionado especialmente pela recente ideia de IoT, motor propulsor da nova revolução industrial, a Indústria 4.0 em formação. Essas transformações precisarão ter suporte na eletrônica avançada, através do desenvolvimento de circuitos eletrônicos que tenham a capacidade de realizar cada vez mais funções em menos espaço, o que irá demandar um investimento pesado na indústria de projetos e fabricação de chips. Sendo assim, fez-se necessária a implantação de políticas de propriedade intelectual com o objetivo de salvaguardar aos respectivos titulares os direitos relativos às topografias dos circuitos integrados desenvolvidos, face ao elevado investimen..."
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"4 http://jcrs.uol.com.br/_conteudo/2017/04/especiais/dia_da_industria_2017/558253-chips-abrem-portas-paratecnologias";"";"4 http://jcrs.uol.com.br/_conteudo/2017/04/especiais/dia_da_industria_2017/558253-chips-abrem-portas-paratecnologias";"f";"futuristas.html 5 https://g1.globo.com/economia/tecnologia/noticia/qualcomm-anuncia-fabrica-de-chips-para-smartphones-e-internet-das- coisas-no-brasil.ghtml Manual do Usuário | e-Chip"
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"2 COMO FAZER O REGISTRO E RECEBER O CERTIFICADO COM SEGURANÇA";"2.1 CONHECENDO A LEGISLAÇÃO";"2.1 CONHECENDO A LEGISLAÇÃO";"A proteção à propriedade intelectual das topografias de circuitos integrados foi então estabelecida no Brasil pela Lei nº 11.484 6 , de 31 de maio de 2007. Essa lei dispõe sobre os incentivos às indústrias de equipamentos para TV Digital e de componentes eletrônicos semicondutores, estabelecendo os critérios e requisitos para proteção à propriedade intelectual das topografias de circuitos integrados em seu Capítulo III.";"A proteção à propriedade intelectual das topografias de circuitos integrados foi então estabelecida no Brasil pela Lei nº 11.484 6 , de 31 de maio de 2007. Essa lei dispõe sobre os incentivos às indústrias de equipamentos para TV Digital e de componentes eletrônicos semicondutores, estabelecendo os critérios e requisitos para proteção à propriedade intelectual das topografias de circuitos integrados em seu Capítulo III. Neste capítulo, podemos verificar a aplicação das condições estabelecidas pelo TRIPS 7 , em sua Seção 6, artigos de 35 a 38, para a proteção dessas topografias. Tais condições foram, na verdade, majoritariamente incorporadas do Tratado IPIC 8 (também conhecido como Tratado de Washington), de 1989, o qual não chegou a entrar em vigor. É importante frisar que tal proteção depende do registro 9 , o qual é de responsabilidade do Instituto Nacional da Propriedade Industrial (INPI) 10 . A forma de proteção conferida pela Lei nº 11.484/2007 é também conhecida como sui generis, assim denominada em função do seu caráter peculiar e diferenciado quando comparada às demais formas de proteção da propriedade intelectual, como direito autoral 11 , a exemplo de programas de computador, e propriedade industrial 12 , como patentes e desenhos industriais. Nota-se, no texto da lei 13 , que alguns dos conceitos utilizados nessas áreas, como os de unidade, novidade (“original”) e atividade inventiva (“comum ou vulgar”) em patentes, são somados a definições e conceitos específicos de topografias de circuitos integrados, resultando na lei própria para esse objeto. Vale frisar que a matéria de proteção reivindicada por essa lei não diz respeito ao circuito integrado em si, mas sim às imagens da sua topografia, haja vista que se garante a proteção à topografia independentemente d..."
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"servicos/topografia/guia-basico-de-topografia 11 Lei nº 9.610/1998 (Lei de Direito Autoral): http://www.planalto.gov.br/ccivil_03/leis/L9610.htm 12 Lei nº 9.279/1996 (Lei da Propriedade Industrial – LPI): http://www.planalto.gov.br/ccivil_03/leis/L9279.htm 13 Lei nº 11.484/2007, art. 29. 14 Lei nº 11.484/2007, art. 29, § 3º. 15 Guia básico de Patente no portal do INPI: http://www.inpi.gov.br/menu-servicos/patente/guia-basico-de-patente 16 Lei nº 9.609/1998 (Lei de Software): http://www.planalto.gov.br/ccivil_03/leis/l9609.htm Manual do Usuário | e-Chip Tabela 1 - Tabela comparativa de patente (patente de invenção...";"servicos/topografia/guia-basico-de-topografia 11 Lei nº 9.610/1998 (Lei de Direito Autoral): http://www.planalto.gov.br/ccivil_03/leis/L9610.htm 12 Lei nº 9.279/1996 (Lei da Propriedade Industrial – LPI): http://www.planalto.gov.br/ccivil_03/leis/L9279.htm 13 Lei nº 11.484/2007, art. 29. 14 Lei nº 11.484/2007, art. 29, § 3º. 15 Guia básico de Patente no portal do INPI: http://www.inpi.gov.br/menu-servicos/patente/guia-basico-de-patente 16 Lei nº 9.609/1998 (Lei de Software): http://www.planalto.gov.br/ccivil_03/leis/l9609.htm Manual do Usuário | e-Chip Tabela 1 - Tabela comparativa de patente (patente de invenção – PI), programa de computador (PC) e topografia de circuito integrado (TCI) A partir desse quadro percebemos que cada ativo de propriedade intelectual possui suas vantagens e desvantagens. A patente (de invenção, neste caso) constitui uma proteção mais forte, por 20 anos, abrangendo as características técnicas da invenção. Obviamente, isso acaba exigindo, por parte do requerente, uma documentação mais elaborada, contendo relatório descritivo claro e preciso, quadro reivindicatório bem definido, além de outras características técnicas e formais, e, por essa razão, demanda não só um exame formal como também um exame técnico aprofundado do pedido, o que pode tornar a decisão desse pedido mais demorada. O registro de programa de computador, por sua vez, embora não seja obrigatório para a proteção (como todo direito autoral, o direito passa a existir a partir da criação da obra), serve como uma prova de autoria, por exemplo, em casos de ações judiciais sobre o software. Apesar de a proteção não ser, digamos, tão forte quanto a patente, por ter efeitos somente sobre a expressão literal do código-fonte objeto da criação, ela possui características positivas bastante r..."
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"";"2.1.1 QUEM PODE SOLICITAR O REGISTRO";"Com relação a esse assunto, a Lei nº 11.484/2007 é bem clara ao definir a quem serão assegurados os direitos sobre as topografias 20 . São eles: pessoas físicas, ou jurídicas de direito público ou privado: I - nacionais; II - estrangeiras domiciliadas no Brasil; III - domiciliadas em país que, em reciprocidade, conceda aos brasileiros ou a pessoas domiciliadas no Brasil, direitos iguais ou equivalentes; e IV - requerentes de registro proveniente do exterior e depositado no Brasil, que tenham proteção às topografias de circuitos integrados assegurada por tratado em vigor no País.";"Com relação a esse assunto, a Lei nº 11.484/2007 é bem clara ao definir a quem serão assegurados os direitos sobre as topografias 20 . São eles: pessoas físicas, ou jurídicas de direito público ou privado: I - nacionais; II - estrangeiras domiciliadas no Brasil; III - domiciliadas em país que, em reciprocidade, conceda aos brasileiros ou a pessoas domiciliadas no Brasil, direitos iguais ou equivalentes; e IV - requerentes de registro proveniente do exterior e depositado no Brasil, que tenham proteção às topografias de circuitos integrados assegurada por tratado em vigor no País. Além disso, ela esclarece 21 também questões importantes quanto à titularidade dos direitos em casos de requerentes que não sejam os criadores da topografia, bem como casos de múltiplos criadores, de topografia desenvolvida mediante contrato de trabalho, dentre outros. Vale, portanto, uma consulta a esses trechos da lei antes de realizar o depósito do pedido de registro no INPI. 19 Não há formulário de pedido em papel. 20 Lei nº 11.484/2007, arts. 24 e 25. 21 Lei nº 11.484/2007, arts. 27 e 28. Manual do Usuário | e-Chip IMPORTANTE (1) O depositante domiciliado no exterior deverá constituir e manter procurador, devidamente qualificado e domiciliado no Brasil, com poderes para representá-lo administrativa e judicialmente, inclusive para receber citações 22 ."
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"";"2.1.2 OS DIREITOS CONFERIDOS PELA PROTEÇÃO";"Este aspecto é igualmente bem definido pela lei: o titular da topografia de circuito integrado será detentor dos direitos exclusivos de explorá-la, podendo vedar a terceiros a sua reprodução, importação, venda ou distribuição, inclusive de um circuito integrado que a incorpore, ou de um produto que incorpore este circuito integrado 23 . Vale lembrar que esses direitos serão concedidos ao titular pelo prazo de 10 (dez) anos contados da data do depósito do pedido de registro ou da primeira exploração da topografia, o que tiver ocorrido primeiro 24 .";"Este aspecto é igualmente bem definido pela lei: o titular da topografia de circuito integrado será detentor dos direitos exclusivos de explorá-la, podendo vedar a terceiros a sua reprodução, importação, venda ou distribuição, inclusive de um circuito integrado que a incorpore, ou de um produto que incorpore este circuito integrado 23 . Vale lembrar que esses direitos serão concedidos ao titular pelo prazo de 10 (dez) anos contados da data do depósito do pedido de registro ou da primeira exploração da topografia, o que tiver ocorrido primeiro 24 . Adicionalmente, a lei também define situações em que a referida proteção não se aplica, como, por exemplo, ações de análise, avaliação, ensino e pesquisa da topografia protegida, feita por terceiros não autorizados, dentre outras 25 ."
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"";"2.1.3 CONCEITO DE TOPOGRAFIA DE CIRCUITO INTEGRADO VS. LAYOUT DE PLACA DE";"CIRCUITO IMPRESSO A Lei de Topografia também apresenta as definições cabíveis tanto para circuito integrado quanto para topografia 26 . Sobre essas definições, e para que não haja margem para dúvidas, é importante esclarecer as diferenças fundamentais entre dois tipos de objeto: o circuito integrado e o circuito impresso.";"CIRCUITO IMPRESSO A Lei de Topografia também apresenta as definições cabíveis tanto para circuito integrado quanto para topografia 26 . Sobre essas definições, e para que não haja margem para dúvidas, é importante esclarecer as diferenças fundamentais entre dois tipos de objeto: o circuito integrado e o circuito impresso. Vale comentar que essa questão também foi abordada pelo CIPO 27 , o escritório canadense de propriedade intelectual, em seu portal na internet, na seção destinada a topografias de circuitos integrados. Lá, eles advertem que as pessoas frequentemente confundem placas de circuito impresso com circuitos integrados (chip ou microchip), e aproveita para definir que uma placa de circuito impresso compreende diversos elementos, sendo que algum ou alguns deles podem ser circuitos integrados. Essa definição fica mais clara no exemplo da Fig. 1. 22 Lei nº 11.484/2007, art. 56. 23 Lei nº 11.484/2007, arts. 36 e 37. 24 Lei nº 11.484/2007, art. 35. 25 Lei nº 11.484/2007, art. 37. 26 Lei nº 11.484/2007, art. 26. 27 Canadian Intellectual Property Office – CIPO: http://www.ic.gc.ca/eic/site/cipointernet- internetopic.nsf/eng/wr00822.html#no6 Manual do Usuário | e-Chip Sabe-se que as diferenças entre ambas as tecnologias são grandes: o circuito impresso é, em geral, muito mais simples, tanto do ponto de vista de projeto quanto do de fabricação, podendo, inclusive, ser fabricadas por pessoas físicas, até mesmo em ambientes domésticos, sem grandes recursos. Circuitos integrados, ao contrário, demandam enorme especialização por parte de seus projetistas, e seu processo de fabricação é formado por dezenas de etapas, cuja realização depende do emprego de equipamentos de alta tecnologia e portanto de custos elevados. Assim sendo, e conforme discussão já apresentada 29 , ente..."
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"2.2 CONDIÇÕES PARA USO E PREENCHIMENTO DO FORMULÁRIO ELETRÔNICO E-CHIP";"2.2 CONDIÇÕES PARA USO E PREENCHIMENTO DO FORMULÁRIO ELETRÔNICO E-CHIP";"Como condição para acesso ao formulário eletrônico e-Chip é necessário acessar o portal www.inpi.gov.br, realizar um cadastro para habilitação no e-INPI, nos termos da Resolução nº 25/2013 32 . Neste serão gerados login e senha, que serão utilizados para a emissão da Guia de 28 Imagem cortesia de cp2studio em FreeDigitalPhotos.net. 29 Recomendamos, aos interessados em maiores detalhes nessa discussão, a leitura do artigo “A Proteção à Propriedade Intelectual das Topografias de Circuitos Integrados do Brasil”: 0da%20ABPI&id=156 30 Instrução Normativa nº 109/2019, art. 2º. 31 Guia básico de Desenho Industrial no po...";"Como condição para acesso ao formulário eletrônico e-Chip é necessário acessar o portal www.inpi.gov.br, realizar um cadastro para habilitação no e-INPI, nos termos da Resolução nº 25/2013 32 . Neste serão gerados login e senha, que serão utilizados para a emissão da Guia de 28 Imagem cortesia de cp2studio em FreeDigitalPhotos.net. 29 Recomendamos, aos interessados em maiores detalhes nessa discussão, a leitura do artigo “A Proteção à Propriedade Intelectual das Topografias de Circuitos Integrados do Brasil”: 0da%20ABPI&id=156 30 Instrução Normativa nº 109/2019, art. 2º. 31 Guia básico de Desenho Industrial no portal do INPI: http://www.inpi.gov.br/menu-servicos/desenho/guia-basico-de- desenho-industrial 32 Resolução INPI nº 25/2013: http://www.inpi.gov.br/legislacao-1/resolucao_25-2013_0.pdf Manual do Usuário | e-Chip Recolhimento da União – GRU – além de demais solicitações de serviços a serem executados pelo INPI (ver seções 3.1 a 3.3). Recomenda-se que, ao acessar o sistema de GRU, sejam conferidas as informações de cadastro como nome, endereço, entre outras armazenadas neste sistema, e que serão posteriormente utilizadas. Caso seja identificada alguma impropriedade é prudente e importante que seja feita uma atualização no seu cadastro antes de finalizar a GRU, acessando o link clique aqui, em “Alteração de cadastro e emissão de recibo”, disponível no portal do INPI. Todos os serviços relativos ao registro de topografia de circuito integrado (ver Anexo I) deverão ser solicitados, pelo candidato a titular do registro ou seu procurador, ao INPI e só podem ser feitos única e exclusivamente mediante preenchimento do formulário eletrônico e-Chip, conforme art. 3º da IN nº 109/2019. Entende-se por candidato a titular do registro aquele que, observado o disposto na seção"
"manual-de-topografias-de-circuitos-integrados.md";"Topografias de Circuitos Integrados";"10 Guia básico de Topografia de Circuito Integrado no portal do INPI: http://www.inpi.gov.br/menu";"2.2 CONDIÇÕES PARA USO E PREENCHIMENTO DO FORMULÁRIO ELETRÔNICO E-CHIP";"2.1.1 deste manual, possui os direitos sobre a topografia de circuito integrado e vai instruir o pedido de";"registro no INPI, podendo ser nomeado um procurador para representá-lo. Para fins deste manual, convencionaremos denominar por “titular do direito” o candidato a titular do registro de topografia de circuito integrado, isto é, o solicitante do registro, independente da nomeação de um procurador.";"registro no INPI, podendo ser nomeado um procurador para representá-lo. Para fins deste manual, convencionaremos denominar por “titular do direito” o candidato a titular do registro de topografia de circuito integrado, isto é, o solicitante do registro, independente da nomeação de um procurador."
