Categoria;Especie;Numero;Ano;Data;NUP;Normativo;Situacao;Legislacao;Palavras;Descricao;Interessados;Correlacoes;Link
Prazos;Nota PFE;7;2025;22/07/2025;52402.008529/2025-17;Não;Vigente;Art. 218, II e 221 9.279, de 1996;Tabela de retribuição de serviços. Guia de recolhimento da União;Consulta sobre pagamento de Guia de Recolhimento da União (GRU) emitidaanteriormente à entrada em vigor da Tabela de Retribuição de Serviços. ;Presidência do INPI, ECON, CGTEC, Usuário Externo;"PORTARIA INPI/PR Nº 10, DE 9 DE MAIO DE 2025 
Nota nº 0195-2016-AGU/PGF/INPI/COOPI-LBC-2. 1";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/nota-n-07_2025.pdf
Marcas;Parecer PFE;15;2025;09/07/2025;52402.006910/2025-33;Não;Vigente;"Lei nº 5648, de 1970;
Lei nº 9.279, de 1996 - LPI;
PORTARIA /INPI /PR Nº 79, DE 16 DE DEZEMBRO DE 2022";Trâmite prioritário - Marcas;"Proposta de alteração da
Portaria INPI/PR nº 08, de 17 de janeiro de 2022, para o acréscimode priorizações estabelecidas por legislações específicas e a edição de normativos específicos para tratar de filas de exameprioritário com base em objetivos estratégicos e políticas públicas no âmbito do INPI, na forma da Nota Técnica/SEI nº 8/2025/INPI /SENOT/CNOC/DIRMA /PR";DIRMA, Usuário externo;"Parecer nº 0031-2016-AGU/PGF/PFE/INPI/COOPI-LBC-1. 0;
PARECER n. 00008/2018/PROCGAB/PFE-INPI/PGF/AGU;
PARECER n. 00007/2019/CGPI/PFE-INPI/PGF/AGU, confirmado pelo DESPACHO DE APROVAÇÃO n. 00059/2019/PROCGAB/PFE-INPI/PGF/AGU;
PARECER n. 00014/2020/CGPI/PFE-INPI/PGF/AGU, confirmado pelo DESPACHO DE APROVAÇÃO n. 00078/2020/PROCGAB/PFE-INPI/PGF/AGU;
PARECER n. 00046/2020/CGPI/PFE-INPI/PGF/AGU, confirmado pelo DESPACHO DE APROVAÇÃO n. 00194/2020/PROCGAB/PFE-INPI/PGF/AGU;
PARECER n. 00051/2021/CGPI/PFE-INPI/PGF/AGU e a NOTA n. 00020/2021/CGPI/PFE-INPI/PGF/AGU, confirmados pelo DESPACHO DE APROVAÇÃO n. 00150/2021/PROCGAB/PFE-INPI/PGF/AGU ; e
PARECER n. 00016/2022/PROCGAB/PFE-INPI/PGF/AGU. ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/parecer-n-15_2025.pdf
Marcas;Nota PFE;6;2025;02/07/2025;19974.000220/2025-11;Não;Vigente;Lei nº 9.279, de 1996 - LPI;"Reconhecimento - marca ""GOV. BR""";"Solicitação da
Consultoria Jurídica junto ao Ministério da Gestão e da Inovação em Serviços Públicos (CONJUR/MGI) a respeito da possibilidade de registro da marca “GOV. BR” e de seu reconhecimento como marca de alto renome e/ou como marca notoriamente conhecida a pedido da Administração Pública Federal";MGI, DIRMA;"NOTA n. 00334/2025/CONJUR-MGI/CGU/AGU
Nota Técnica/SEI nº 21/2025/ INPI /CNOC/DIRMA /PR";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/nota-n-06_2025.pdf
Patentes;Nota PFE;5;2025;24/06/2025;52402.006111/2025-67;Não;Vigente;Código Penal;Fraude. Averbação de contrato de licença. ;Denuncia de Fraude Recebida no Processo Br02025000063-9 - averbação de contrato de licença de patentes;CGTEC;"Petição 880250000579 de 05/06/2025 
Processo INPI/CGTEC Nº 702025000063-9";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/nota-n-05_2025.pdf
Academia;Parecer PFE;14;2025;16/06/2025;52402.006442/2025-05;Não;Vigente;"Art. 131 da Constituição Federal de 1988
Art. 11, da Lei Complementar nº 73, de 10 de fevereiro de 1993
Lei nº 10973, de 2004";Caracterização. ACAD/INPI. ICT;Caracterização da INPI como ICT;Presidência do INPI;"PARECER n. 00022/2024/CGPI/PFE-INPI/PGF/AGU (SEI 1236515);
Nota Técnica/SEI nº 2/2025/ INPI /PR (SEI 1236805);
Despacho de Consulta (SEI 1236866);
Despacho nº 523/2025 da AGU (NUP 00400. 003457/2024-49). ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/parecer-n-14_2025.pdf
Normas;Nota Jurídica PFE;34;2025;22/05/2025;52402.005488/2025-07;Não;Vigente;"Art. 217 da LPI
Art. 97 da Constituição";Agente de Propriedade Industrial. ;Consulta sobre Agentes da Propriedade Industrial - Resolução nº 141/2014;Presidência do INPI;"Resolução nº 141, de 03 de novembro de 2014
Ação Civil Pública nº0020172-59. 2009. 403. 6100 10ª Vara Federal Cível de São Paulo
Ofício (1217826) e Despacho (1217809)";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/nota-juridica-n-34_2025.pdf
Patentes;Parecer PFE;12;2025;21/05/2025;52402.000328/2024-82;Não;Vigente;Art. 22 do PCT c/c Regra 49.6 do Regulamento de Execução do PCT;Restabelecimento de direito. ;Desenvolvimento de nova modalidade de restabelecimento de direito;CGREC;"Portaria INPI nº 39 de 2021
Nota Técnica DNPCT nº01/2024
Nota n. 0281-2016-AGU/PGF/PFE/INPI/COOPI-DJT-2. 2
Parecer n. 0021-2017-AGU/PGF/PFE/INPI/COOPI-DJT-1. 0
Parecer n. 0023- 2017-AGU/PGF/PFE/INPI/COOAD-LBC-1. 0
Nota n. 0045- 2017-AGU/PGF/PFE/INPI/COOPI-LBC-2. 2
Nota n. 0127-2017-AGU/PGF/PFE/INPI/COOPI-DJT-2. 2
Nota n. 0133- 2017-AGU/PGF/PFE/INPI/COOPI-DJT-2. 2";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/parecer-n-12_2025.pdf
Patentes;Nota PFE;10;2025;05/05/2025;52402.002612/2025-74;Não;Vigente;—;Manual. Patentes. Ações judiciais. ;"Manual ""Orientações para examinadores de patentes atuando em ações judiciais"". ";DIRPA;0;https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/nota-n-10_2025.pdf
Marcas;Parecer PFE;8;2025;17/04/2025;52402.010204/2022-43;Não;Vigente;"Art. 2º, da Lei nº 5.648/1970.
Art. 122 e 124, incisos II, VI, VII, VIII, XVIII e XXI da Lei nº 9.279, de 1996";Distintividade adquirida. Secondary meaning. Ausência de impedimento legal. Poder regulamentar do INPI. Impedimentos ao registro. Uso continuado. ;"1. Consulta sobre procedimento administrativo para disciplinar a análise da distintividade adquirida pelo uso em marcas (""secondary meaning""). 
2. PARECER n. 00033/2022/CGPI/PFE-INPI/PGF/AGU. Conclusão pela ausência de impedimento legal. Poder regulamentar do INPI, nos termos do art. 2º, da Lei nº 5. 648/1970. 
3. Ato administrativo normativo de disciplinamento do requerimento de exame da distintividade adquirida. Possibilidade de afastar os impedimentos ao registro previstos nos art. 122 e 124, incisos II, VI, VII, VIII, XVIII e XXI da Lei nº 9. 279, de 1996, com base no reconhecimento da distintividade do sinal adquirida pelo uso continuado. 
5. Legalidade do procedimento administrativo. Sugestão de aprimoramento da redação de texto (art. 96-A). ";DIRMA;"PARECER n. 00033/2022/CGPI/PFE-INPI/PGF/AGU;
NOTA TÉCNICA/SEI Nº 16/2022/ INPI /DIRMA /PR (0684329). ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/parecer-n-00008-2025-cgpi-pfe-inpi-pgf-agu.pdf
Normas;Nota PFE;1;2025;22/01/2025;52402.012607/2024-99;Não;Vigente;"Art. 9º, inciso I, do Decreto n. 12.002, de 22 de abril de 2024.
Portaria n.º 08, de 05 de março de 2024";Devolução - prazo;Devolução de prazo para residentes em Israel;"DIRMA
DIRPA
CGREC";"PARECER n. 00028/2021/CGPI/PFE-INPI/PGF/AGU (Processo NUP Nº: 52402. 004529/2021-14), justa causa para a ausência da prática de ato perante o INPI, em situações de impossibilidade de atuação por motivo de saúde, incluído o vírus COVID-19. 
NOTA n. 00012/2021/CGPI/PFE-INPI/PGF/AGU (Processo NUP Nº: 52402. 004529/2021-14), analisou a minuta da PORTARIA/INPI/ Nº 49, de 03 de dezembro de 2021, que disciplina os procedimentos relativos aos pedidos de devolução de prazo no âmbito do INPI; 
PARECER n. 00011/2023/CGPI/PFE-INPI/PGF/AGU, analisou a minuta de Portaria que qualifica os terremotos ocorridos na Turquia como justa causa para a devolução de prazos no âmbito do INPI. 
NOTA n. 00005/2024/CGPI/PFE-INPI/PGF/AGU, que analisou solicitação de suspensão dos prazos processuais junto ao INPI em função dos efeitos da greve dos técnicos das universidades federais, servidores estes responsáveis pelo acompanhamento dos prazos processuais junto ao INPI . ";https://www.gov.br/inpi/pt-br/acesso-a-informacao/manifestacoes-juridicas-de-pi/arquivos/documentos/2025/nota-01_2025.pdf
